% Model,yuinrods.mph
% Version,COMSOL 5.4.0.388
% Date,"Aug 13 2026, 13:14"
% Table,Table 6 - Global Evaluation 2 (freq*a/c_const)
% U,lambda (THz),freq*a/c_const (1)
2,0.8231737182653276-2.745943441124722E-16i,0.8237435895722176-2.747844418212204E-16i
2,0.8892649401872651-1.1277411376985428E-16i,0.8898805654950116-1.128521856642447E-16i
2,0.9323654108517234-1.04394682255941E-16i,0.9330108739944252-1.044669531906046E-16i
2,0.9710414791217211-9.789980758588621E-16i,0.9717137171493365-9.796758221237796E-16i
2,1.0624422209592324+2.6858088316767428E-15i,1.0631777344037443+2.6876681784403755E-15i
2,1.0704378744018217+1.6477959322865007E-16i,1.0711789231220303+1.6489366776730262E-16i
2,1.0730723248243332,1.0738151973366186
2,1.121486377077618-4.272962546436021E-15i,1.1222627659408475-4.27592065685257E-15i
2,1.1238116239063507-2.5460807415698675E-15i,1.1245896225044634-2.5478433565895786E-15i
2,1.1318806270539783+3.472952179503198E-16i,1.1326642117067318+3.475356454267303E-16i
2,1.1551072318993898-7.698005022002569E-16i,1.1559068959960859-7.703334239985352E-16i
2,1.1920910963207834,1.1929163638140456
2,1.310589957968672-6.005618803181552E-16i,1.3114972605168123-6.009776406564789E-16i
2,1.3237633206860435-3.024817109888313E-15i,1.3246797429634236-3.0269111471993524E-15i
2,1.3244519883106032-2.412190003285658E-15i,1.3253688873426592-2.413859927676024E-15i
2,1.3410128608592078+3.354303521856872E-16i,1.341941224744761+3.3566256578644866E-16i
2,1.3879457378172813-5.600440015795482E-16i,1.3889065926574589-5.604317119741032E-16i
2,1.3906162957822217-2.0950742452853632E-16i,1.3915789994112076-2.0965246350046904E-16i
2,1.420905728546442+1.3801414763555177E-15i,1.4218894011133947+1.3810969284179101E-15i
2,1.427551531394665-1.5221636807367606E-15i,1.4285398047551932-1.5232174527253389E-15i
2,1.4310413869347114-2.0881701754911714E-15i,1.4320320762719567-2.0896157856224367E-15i
2,1.4431607346153783-3.173848689129765E-16i,1.4441598140024374-3.176045898856233E-16i
3,6.632262473152485E-8+1.965006178049526E-6i,6.636853892921302E-8+1.9663665235196066E-6i
3,1.0994819083660129E-7+3.632950960204374E-7i,1.1002430638525398E-7+3.635465999819489E-7i
3,1.5827220907414457E-7+1.5707476171841442E-6i,1.5838177864448935E-7+1.571835023132047E-6i
3,2.42994900753482E-7-1.5053546286395778E-6i,2.4316312262279994E-7-1.506396763963533E-6i
3,3.593491786855848E-7-3.320733097499042E-7i,3.5959795094536844E-7-3.3230319931854743E-7i
3,1.0917658143488462E-6-4.021725877004354E-6i,1.0925216280946394E-6-4.024510059893856E-6i
3,1.100965384819024E-6+7.18249323731316E-7i,1.101727567294929E-6+7.18746557391363E-7i
3,1.3591426607048373E-6-1.1248803544842971E-6i,1.360083575589654E-6-1.1256590929491933E-6i
3,1.5376689326157301E-6-3.663647749209383E-7i,1.5387334386668226E-6-3.666184039769322E-7i
3,1.6251674133917686E-6+8.03320114515392E-8i,1.6262924933806392E-6+8.038762414584079E-8i
3,1.8920527736555675E-6-2.8810033878979902E-8i,1.8933626145347201E-6-2.8829978650410114E-8i
3,0.030312046465268562+9.105036169676494E-15i,0.030333031058374947+9.111339455053762E-15i
3,0.03872076265910545-1.8451045679363855E-15i,0.0387475684853007-1.8463819072490333E-15i
3,0.5779826027049144-2.369778047096502E-16i,0.5783827317346133-2.371418610300565E-16i
3,0.6268002643889214+1.3999804800140632E-16i,0.6272341891825592+1.4009496663328966E-16i
3,0.6275096567160785+5.430695402373875E-16i,0.6279440726118051+5.434454994568818E-16i
3,0.6308556109304889,0.6312923431821178
3,0.8181099751958243+3.6143135157272476E-16i,0.8186763409463332+3.6168156529080337E-16i
3,0.8234417768864519,0.8240118337664637
3,0.8893092926985765,0.8899249487109276
3,0.9341846817826737-4.634732642707345E-16i,0.9348314043804333-4.637941201350046E-16i
3,0.9706955735629784,0.9713675721251583
3,1.0595175618252586-2.2589608670777064E-15i,1.0602510505703835-2.2605247131444243E-15i
3,1.0674527843420332,1.0681917665273952
3,1.072905472368561,1.0736482293712948
3,1.1199108562229605+1.3098545165147342E-15i,1.1206861543757987+1.3107613099273506E-15i
3,1.12443530295468-2.3253420557005417E-15i,1.1252137333168135-2.326951856507886E-15i
3,1.136042090357753,1.1368285559316036
3,1.1593847086160622+1.482362410353635E-15i,1.1601873339482698+1.483388628496086E-15i
3,1.1917823833471843-6.532283022707898E-16i,1.192607437122902-6.536805228143429E-16i
3,1.3105534854103256+1.8670467216287058E-16i,1.3114607627090393+1.8683392511782659E-16i
3,1.322965588875373+4.857792745945043E-15i,1.3238814588945127+4.861155725883913E-15i
3,1.3244552975844701+2.870034628710849E-16i,1.325372198907489+2.872021512339896E-16i
3,1.3409823586976548-4.214756960697294E-15i,1.3419107014670009-4.2176747762253184E-15i
3,1.382897332071481,1.3838546919730856
3,1.3872674366713815,1.3882278219334472
3,1.4252768676943155+1.0702999583662788E-15i,1.4262635663379317+1.0710409116092027E-15i
3,1.4262893673876287-1.9533299986337656E-15i,1.427276766970197-1.9546822608530387E-15i
