% Model,yuin.mph
% Version,COMSOL 5.4.0.388
% Date,"Aug 12 2026, 12:36"
% Table,Table 3 - Global Evaluation 1 (freq*a/(c_const))
% U,lambda (THz),freq*a/(c_const) (1)
3,5.421121896389184E-8+4.575125981190483E-6i,5.424874860983844E-8+4.578293275000083E-6i
3,3.170867273902905E-7-4.774255033121752E-6i,3.1730624196385605E-7-4.777560181105441E-6i
3,8.892323720035943E-7+1.2826137471058027E-6i,8.898479747648564E-7+1.2835016821261753E-6i
3,1.5596936028000948E-6-1.047772073869788E-6i,1.5607733562130786E-6-1.0484974313828014E-6i
3,4.0417358699557735E-6-9.854922700140714E-8i,4.04453390547514E-6-9.861745121160499E-8i
3,4.460129784036372E-6-2.3037939672763124E-6i,4.463217467635264E-6-2.305388850652453E-6i
3,5.7646629872716305E-6+9.236012584741557E-8i,5.7686537804146124E-6+9.242406543204189E-8i
3,7.975816714640742E-6+1.3416028758352765E-6i,7.981338257656308E-6+1.3425316481796981E-6i
3,3.521053881328814E-5+3.316950184329333E-6i,3.523491456208161E-5+3.319246461159473E-6i
3,0.023243687798296546+2.4307907105321508E-14i,0.023259779068521343+2.43247351192419E-14i
3,0.027014488061682693+6.381621591419732E-15i,0.0270331898026094+6.386039496116742E-15i
3,0.4374234585763542-1.5387146146481048E-15i,0.43772628053540374-1.5397798446098047E-15i
3,0.4830889293070558,0.4834233648136563
3,0.513246867789454+7.556888512175732E-17i,0.5136021812024244+7.562120037231622E-17i
3,0.5191091080789971+1.0430447939983981E-16i,0.5194684798364712+1.0437668788836555E-16i
3,0.6127539172673026-2.0572022871065887E-16i,0.6131781179771733-2.058626458614835E-16i
3,0.6185701280775332-1.6904939893103393E-16i,0.6189983552663622-1.6916642939466534E-16i
3,0.6970318271218892,0.697514372214683
3,0.7796222263719136,0.7801619476083487
3,0.8004953378482144+6.36521469512804E-16i,0.801049509239036+6.369621241567097E-16i
3,0.8439850555424844+4.6453077956495E-16i,0.8445693342383727+4.648523675318243E-16i
3,0.8474187918823234+2.8711370731525624E-15i,0.8480054477044149+2.8731247199880144E-15i
3,0.8666678700151278-1.465969894766886E-15i,0.8672678516967173-1.4669847646069394E-15i
3,0.8797163749260518-3.242286836584202E-15i,0.8803253898996203-3.244531425054264E-15i
3,0.9035591657657658+4.0244753449018356E-16i,0.9041846867599641+4.027261431208355E-16i
3,0.9541418551951663-1.0509742075784834E-15i,0.9548023938565855-1.0517017818825347E-15i
3,0.9647952722221002+1.1342141892194892E-15i,0.9654631860906588+1.1349993893637135E-15i
3,0.9723881660274492-1.3122341639008417E-15i,0.9730613363470096-1.3131426047090634E-15i
3,0.9733001365728051+1.678403079999246E-16i,0.9739739382364366+1.6795650142732201E-16i
3,0.9831781040855323+6.2231839091407E-16i,0.9838587441237754+6.22749212971265E-16i
4,2.7879311278074346E-8+4.9828561811622775E-6i,2.7898611723655513E-8+4.986305740715742E-6i
4,9.690739652019154E-7+3.2394665735939364E-6i,9.697448411479872E-7+3.2417092096365576E-6i
4,1.4564212987675579E-6-1.7615925692648778E-6i,1.4574295582521535E-6-1.7628120944238808E-6i
4,1.7855236193906898E-6+1.061940638362742E-6i,1.786759711670955E-6+1.062675804568848E-6i
4,4.074878201778797E-6-2.8246706635347427E-7i,4.077699181257053E-6-2.826626142344191E-7i
4,5.9087204204551E-6+1.260199778126841E-7i,5.912810942483849E-6+1.261072196279375E-7i
4,3.944367201446375E-5+3.1083140491912104E-5i,3.9470978300391814E-5+3.110465890230511E-5i
4,0.03098073922549285-5.723583860817419E-14i,0.03100218674496426-5.727546215472924E-14i
4,0.03600194365321744+7.736132401330852E-15i,0.03602686728018098+7.741488014349098E-15i
4,0.4360959102398034+4.847805300833478E-16i,0.4363978131562636+4.851161366607972E-16i
4,0.4807128807280318+1.7959541346978128E-16i,0.4810456713304293+1.797197447873568E-16i
4,0.5133335841873546,0.5136889576328381
4,0.5227795522205639,0.5231414649736424
4,0.6091193226639418-8.818287622291554E-17i,0.6095410071963269-8.824392395780237E-17i
4,0.6191523426140014-3.016143234515268E-16i,0.6195809728615669-3.0182312670273395E-16i
4,0.6991891043057883+2.0884797472933707E-16i,0.6996731428504999+2.0899255717367351E-16i
4,0.7808854186083775+1.3458827686515482E-16i,0.7814260143346008+1.3468145039041124E-16i
4,0.7989077211710253-4.968407693809207E-16i,0.7994607934776917-4.971847250883015E-16i
4,0.8423020523293583-4.700921896869194E-16i,0.8428851659063666-4.704176277379058E-16i
4,0.8474237844272886+1.938796140044141E-15i,0.848010443705647+1.94013834068248E-15i
4,0.8687718796255871,0.8693733178827204
4,0.8779774123887666+3.5060511768624245E-16i,0.8785852235036211+3.508478365585592E-16i
4,0.8986291095990531+5.158362908357676E-16i,0.8992512175863875+5.161933968690108E-16i
4,0.9497864969580917-9.156226311057747E-16i,0.9504440204677447-9.162565034632471E-16i
4,0.9628991576217596-4.982967970848145E-16i,0.9635657588374951-4.986417607792001E-16i
4,0.9758904810109665+1.507809468035289E-15i,0.9765660759327373+1.508853302809194E-15i
4,0.9784009501518083,0.9790782830352006
4,0.9881454864539909+7.298974729919659E-16i,0.9888295653394898+7.30402770497948E-16i
4,1.0203091648021705+9.823318173230392E-16i,1.0210155101388545+9.83011871489148E-16i
4,1.0483799681177883-4.1494095385222757E-16i,1.0491057464672326-4.1522821149712934E-16i
5,7.3590106406592E-8-4.968697665798356E-6i,7.364105177715178E-8-4.9721374236155966E-6i
5,9.103115547206573E-7+2.813572715972622E-6i,9.109417502964573E-7+2.8155205118328447E-6i
5,1.4212963908475455E-6-1.97841109140681E-6i,1.4222803338643817E-6-1.9797807169053033E-6i
5,2.015047670138099E-6+1.0877461876156518E-6i,2.016442658612278E-6+1.0884992186317627E-6i
5,4.147826820954796E-6-1.2316650975910434E-7i,4.150698301711241E-6-1.2325177615953E-7i
5,5.945020744577941E-6+1.0619742907866295E-7i,5.949136396798155E-6+1.0627094802898237E-7i
