% Model,"2D photonic crystal band structure(sweep, simple).mph"
% Version,COMSOL 5.4.0.388
% Date,"Aug 10 2026, 18:08"
% Table,Table 6 - Global Evaluation 3 (freq*a/(c_const))
% U,lambda (THz),freq*a/(c_const) (1)
9,0.943362129901551,0.47200760295721866
9,1.0283285338154748,0.5145202154229017
9,1.0897620571515265+1.9429723211074056E-16i,0.5452582418625387+9.721587064278675E-17i
9,1.1641960525654598-2.818611663995506E-16i,0.5825010043608867-1.410281474123428E-16i
9,1.248873198659011+2.2760789428351166E-16i,0.6248688877918724+1.138827319749543E-16i
9,1.4201354294779287-3.3790157964637737E-12i,0.7105592843889665-1.6906775202115528E-12i
10,6.208431923524462E-8-1.6816461599752975E-8i,3.1063649657546386E-8-8.414051696934103E-9i
10,0.1542392555353872-4.118494070361851E-12i,0.077173016575047-2.060672622238808E-12i
10,0.17880406333321341+2.0505818718781273E-13i,0.0894639234052446+1.0260007300841407E-13i
10,0.8377812001865418,0.4191805920213685
10,0.9415021806891816,0.47107698454301083
10,1.0287546000598409,0.5147333960248464
10,1.0991852966778262,0.5499731234121771
10,1.15143019317195-2.7747546812811127E-16i,0.5761136558538523-1.3883378019875566E-16i
10,1.251996539467274,0.6264316393179281
10,1.4252066799822125-3.355759705417875E-12i,0.7130966650179434-1.679041424760196E-12i
11,7.080356905061031E-8-1.432232543436616E-8i,3.542629267075006E-8-7.166120286971742E-9i
11,0.16947565966650946-6.535589662687064E-13i,0.08479649261215376-3.270057078630909E-13i
11,0.19636242382247443+1.1066925994648456E-13i,0.0982491813498896+5.5372937340447315E-14i
11,0.8293461762946838+1.1113601524481225E-16i,0.41496016035267497+5.560647655359576E-17i
11,0.940155481727003,0.4704031689117758
11,1.0292131638635238,0.5149628366552456
11,1.1086893637977868-2.2416586833237127E-16i,0.5547284467365354-1.1216052756689325E-16i
11,1.1382757805842065+1.9384078000921556E-16i,0.5695318962548116+9.698748659441702E-17i
11,1.255438862620242,0.6281539924297771
11,1.4300113198780293-7.40039449365723E-12i,0.715500648057345-3.702758840079241E-12i
12,3.0603884753929657E-8-2.2901573568982618E-8i,1.5312535691239597E-8-1.14587139992274E-8i
12,0.18465582137562825+2.5761881231473864E-13i,0.09239182797034953+1.2889857905368252E-13i
12,0.21381830653584674+2.3298115998319093E-14i,0.10698316493464624+1.1657122474201347E-14i
12,0.8203707673448358,0.4104693491045907
12,0.9392469709091403,0.46994859902836866
12,1.0297007091146486,0.515206778041085
12,1.1182499257173282,0.5595120370159519
12,1.1248125684284287,0.5627956299830074
12,1.259197312591098+1.5285762412068783E-16i,0.6300345183755913+7.648172262593469E-17i
