% Model,yuin.mph
% Version,COMSOL 5.4.0.388
% Date,"Aug 12 2026, 12:01"
% Table,Table 2 - Global Evaluation 2 (freq*a/(c_const))
% U,lambda (THz),freq*a/(c_const) (1)
0,0.4874688783093052,0.48780634599150435
0,0.5131342575101379,0.513489492964634
0,0.5131342584331817,0.5134894938883169
0,0.617820699024734,0.6182484073946256
0,0.6178206994991099,0.6182484078693299
0,0.6938632211550106,0.6943435726675391
0,0.7779999126816317,0.7785385108136693
0,0.8025748424906831,0.8031304534926123
0,0.8474123437863851,0.8479989951445527
0,0.847412353084529,0.8479990044491336
0,0.8618574523475456,0.8624541038462805
0,0.8831245437033607,0.8837359181030772
0,0.9112494028161942,0.9118802476507205
0,0.9653863645116423,0.9660546875848781
0,0.9653863666497311,0.966054689724447
0,0.9675166780852142,0.9681864759438485
0,0.9675166789021029,0.9681864767613029
0,0.9711437823140803,0.9718160911647219
0,1.0148156142446003,1.015518156475371
0,1.0534344493739645,1.05416372686797
0,1.064194403965578,1.0649311304211442
0,1.0849628078726725,1.0857139119950834
0,1.0849628116606482,1.0857139157856814
0,1.141741887819375,1.1425322992808995
0,1.1643600384420423,1.165166108123416
0,1.1643600613611738,1.1651661310584143
0,1.2003806179496608,1.2012116241593318
0,1.2594418231143554,1.2603137165455531
0,1.3143644958019944,1.3152744114083026
0,1.3359060175735697,1.336830846065083
1,0.4868649140870472+7.763509559966335E-15i,0.48720196365351576+7.768884125797121E-15i
1,0.5131468326629465+6.5600430809439236E-15i,0.5135020768230398+6.564584504267872E-15i
1,0.5139111045714568-4.78054314613743E-16i,0.5142668778259827-4.783852647291177E-16i
1,0.6172319670344123,0.6176592678336281
1,0.6179040172151001+1.1545840381357891E-15i,0.6183317832649746+1.1553833400329794E-15i
1,0.6942411878591684-7.772087510693857E-16i,0.6947218010326014-7.777468014916362E-16i
1,0.7781799962854826,0.778718719086805
1,0.8023418590838882-3.957255060019377E-15i,0.8028973087947611-3.9599946106910175E-15i
1,0.8468988089798165+2.1397169006246782E-16i,0.8474851048252352+2.1411981958111952E-16i
1,0.8474130693574815-2.2809546146868962E-16i,0.8479997212179515-2.2825336867082523E-16i
1,0.8625489716079947-1.2057483662017355E-15i,0.8631461018355518-1.206583088426196E-15i
1,0.8826995373181373+9.244233966518179E-16i,0.8833106174920557+9.250633616524978E-16i
1,0.9102864858476956+3.9078343360216464E-16i,0.9109166640686759+3.910539673437995E-16i
1,0.9627579847310422,0.9634244882148191
1,0.9663743338228966-1.4871466982837966E-16i,0.9670433408530542-1.4881762285198617E-16i
1,0.9671953800641397,0.9678649554927827
1,0.9680818825121634-1.3533360627099762E-16i,0.9687520716536805-1.354272957770648E-16i
1,0.9738600665319366,0.9745342558270127
1,1.0151916080658834,1.01589441059176
1,1.0531333208438878+1.96094623297125E-16i,1.0538623898709496+1.962303767799839E-16i
1,1.0639013155990105,1.0646378391537226
1,1.084971930904021-2.7304415180799873E-16i,1.0857230413421752-2.7323317634094588E-16i
1,1.085553057741707+7.4229013769832E-16i,1.0863045704855994+7.428040144675554E-16i
1,1.1412863629963699-1.4047659557863938E-15i,1.1420764591046215-1.4057384550211672E-15i
1,1.164358410353491-4.3826878486122067E-16i,1.1651644789077624-4.385721920274799E-16i
1,1.1645403356143227+5.513900502254143E-16i,1.1653465301128316+5.517717696141118E-16i
1,1.2006522995224298+8.894738399675168E-16i,1.2014834938133399+8.900896098935717E-16i
1,1.2593432334064314+1.0899359974971572E-15i,1.2602150585853944+1.0906905444871034E-15i
1,1.3141553775440422-5.64644611112046E-16i,1.315065148380793-5.650355064423061E-16i
1,1.334439108611332+4.8249006198870066E-15i,1.3353629215829026+4.828240829080836E-15i
2,0.4852631423569112-1.4214058839337956E-15i,0.4855990830398853-1.4223899027511181E-15i
2,0.5131844624320395-3.976917848935568E-15i,0.5135397326426799-3.979671011872722E-15i
2,0.5160382524109237-1.3055366814523276E-15i,0.5163954982592561-1.3064404856899311E-15i
2,0.615506689522683-4.2961822174632776E-16i,0.6159327959371309-4.299156402523586E-16i
2,0.6181538992706357-1.60037025376927E-15i,0.6185818383102576-1.6014781670417508E-15i
2,0.6953339159146599-4.813600527694687E-16i,0.6958152855679844-4.816932913997476E-16i
2,0.7787205452885789+2.384637314165861E-16i,0.7792596423041892+2.38628816422646E-16i
2,0.8016456797904952-7.884929343450118E-16i,0.8022006475464721-7.890387966447893E-16i
2,0.8456124690076494+1.1204395871813559E-16i,0.8461978743384359+1.1212152513670198E-16i
2,0.8474152173805696-1.6865521858242352E-16i,0.848001870728085-1.6877197616067796E-16i
2,0.8643398365256533+2.517432153585848E-15i,0.8649382065431945+2.519174935600796E-15i
2,0.8814891084773848+3.253655016072863E-15i,0.8820993506888537+3.2559074745698197E-15i
2,0.9075840318959747-1.6233857413743994E-16i,0.9082123392470147-1.6245095879373983E-16i
2,0.958523443842425,0.9591870158145456
2,0.9662617614062303+3.1246283171947167E-16i,0.9669306905041257+3.12679145236674E-16i
2,0.9691516228180275,0.9698225525253481
2,0.9697395872885596,0.9704109240352132
2,0.9783581061256563,0.9790354093487466
2,1.0162893590430708-1.1628351384693217E-16i,1.0169929215261353-1.1636401524844114E-16i
2,1.0522020731221138-1.4696250043173578E-16i,1.052930497459793-1.4706424045370992E-16i
2,1.0631929354583218+3.9375823497685007E-16i,1.063928968611667+3.94030828130623E-16i
2,1.0849995759116973+1.5365857144675924E-16i,1.085750705488092+1.5376494706223656E-16i
2,1.0871810021965205+4.0603712735668425E-16i,1.0879336419429073+4.063182210107676E-16i
2,1.1399821795428482,1.1407713727836823
2,1.1643534317870925-4.193877721461496E-16i,1.1651594968947743-4.1967810825929735E-16i
2,1.1650277292759392-1.7555764325812948E-15i,1.1658342611900587-1.7567917928555372E-15i
2,1.2014584346110102+1.8647994692326647E-15i,1.2022901869776292+1.866090443041764E-15i
2,1.2590472046539385-1.679151788899026E-15i,1.2599188248964606-1.6803142414933858E-15i
2,1.313524019414906+7.158870596204791E-16i,1.3144333531715189+7.163826579191119E-16i
2,1.3317844989656678-4.243982383240503E-15i,1.3327064741892216-4.246920431107546E-15i
3,0.4830889293070472+1.6441977163899022E-14i,0.4834233648136477+1.6453359707833966E-14i
3,0.5132468677894618-1.2881679051099364E-15i,0.5136021812024322-1.2890596851938848E-15i
