% Model,SiGratingSlab80.mph
% Version,COMSOL 5.4.0.388
% Date,"Aug 17 2026, 16:22"
% Table,"Table 6 - Global Evaluation 2 (freq, real(freq)/(2*abs(imag(freq))))"
% U (rad),lambda (THz),Frequency (1/s),Q (1)
0.0017453292519943296,1.2266594548659953+0.0045088641310963296i,1.2266594548659954E12+4.50886413109633E9i,136.0275469830728
0.0017453292519943296,1.2369093694100217+3.585138754602624E-5i,1.2369093694100217E12+3.5851387546026245E7i,17250.509032907994
0.0017453292519943296,1.2478779206333708+0.40002085420106703i,1.2478779206333708E12+4.00020854201067E11i,1.5597660816030054
0.0017453292519943296,1.2574922615037443+0.4860855247882013i,1.2574922615037444E12+4.860855247882013E11i,1.2934886942494974
0.0017453292519943296,1.4871615003638328+0.08029967015285307i,1.4871615003638328E12+8.029967015285307E10i,9.260072286305608
0.0017453292519943296,1.6263727623079514+7.897877143947616E-6i,1.6263727623079514E12+7897877.143947616i,102962.6526638421
0.0017453292519943296,1.674615049946544+0.024978171854174308i,1.674615049946544E12+2.497817185417431E10i,33.52156954726623
0.0017453292519943296,1.89876404323061+0.08581707860933006i,1.89876404323061E12+8.581707860933006E10i,11.062856450022384
0.0017453292519943296,2.032431010895663+2.9342477577278204E-7i,2.032431010895663E12+293424.77577278204i,3463291.410111713
0.0017453292519943296,2.183589693484086+0.017492149241739023i,2.1835896934840862E12+1.7492149241739025E10i,62.41627782004332
0.0017453292519943296,2.253937345700666+6.965125082042713E-8i,2.253937345700666E12+69651.25082042713i,1.6180164168994632E7
0.0017453292519943296,2.29635102176716+9.520009476234718E-6i,2.29635102176716E12+9520009.47623472i,120606.5512592008
0.0017453292519943296,2.2982842993537163+1.1227095687491174E-5i,2.2982842993537163E12+1.1227095687491175E7i,102354.35607422415
0.0017453292519943296,2.435089410833581+0.08429334349636051i,2.435089410833581E12+8.429334349636052E10i,14.444138231026033
0.0017453292519943296,2.5452792305621976+1.1164130331151463E-6i,2.5452792305621978E12+1116413.0331151462i,1139936.1862786848
0.0017453292519943296,2.595716060775208+0.005240926478027324i,2.595716060775208E12+5.240926478027325E9i,247.6390454681813
0.0017453292519943296,2.6566514967949972+4.708862477258383E-7i,2.656651496794997E12+470886.24772583833i,2820905.8022244107
0.0017453292519943296,2.7069530114470286+0.034384116427684186i,2.706953011447029E12+3.438411642768419E10i,39.36342260154081
0.0026179938779914945,0.5873639285357921+0.06125559185674855i,5.873639285357921E11+6.125559185674855E10i,4.794369874911935
0.0026179938779914945,0.9830553664737287+0.09071368856225018i,9.830553664737288E11+9.071368856225018E10i,5.418451074223102
0.0026179938779914945,1.2265634411660815+0.004465865136439775i,1.2265634411660815E12+4.4658651364397745E9i,137.32652058363638
0.0026179938779914945,1.2370053568102282+7.891833841097439E-5i,1.2370053568102283E12+7.89183384109744E7i,7837.249121797337
0.0026179938779914945,1.2478828958305888+0.4000196129797385i,1.2478828958305889E12+4.0001961297973846E11i,1.5597771400946232
0.0026179938779914945,1.2574976451081923+0.4860840626312462i,1.2574976451081924E12+4.860840626312462E11i,1.29349812283617
0.0026179938779914945,1.4871602213868078+0.0802977212808477i,1.4871602213868079E12+8.02977212808477E10i,9.260289069632163
0.0026179938779914945,1.6263649513927305+1.767020477126114E-5i,1.6263649513927305E12+1.767020477126114E7i,46019.98031278772
0.0026179938779914945,1.6746241952655458+0.02497012199771163i,1.674624195265546E12+2.497012199771163E10i,33.53255934069957
