% Model,SiGratingSlab.mph
% Version,COMSOL 5.4.0.388
% Date,"Aug 17 2026, 16:06"
% Table,"Table 6 - Global Evaluation 2 (freq, real(freq)/(2*abs(imag(freq))))"
% U (rad),lambda (THz),Frequency (1/s),Q (1)
0.017453292519943295,2.4350730893071817+0.08421103946017434i,2.4350730893071816E12+8.421103946017435E10i,14.458158365678367
0.017453292519943295,2.5443232911855747+1.3211459747267476E-4i,2.5443232911855747E12+1.3211459747267476E8i,9629.228487456947
0.017453292519943295,2.5962389715359153+0.005097312755180219i,2.5962389715359155E12+5.09731275518022E9i,254.66741950427206
0.017453292519943295,2.657039040108523+1.1842536259210882E-4i,2.657039040108523E12+1.1842536259210883E8i,11218.20099153985
0.017453292519943295,2.7070321549871785+0.034342470003586395i,2.7070321549871787E12+3.4342470003586395E10i,39.41231010326984
0.02181661564992912,0.5877792514005815+0.061032083260214635i,5.877792514005815E11+6.103208326021464E10i,4.815330069060094
0.02181661564992912,0.9832279664593391+0.09048431063377717i,9.832279664593391E11+9.048431063377718E10i,5.4331406161606255
0.02181661564992912,1.2187871059536461+0.003062962448945984i,1.2187871059536462E12+3.062962448945984E9i,198.95560691138266
0.02181661564992912,1.244778461997733+0.001490231857693411i,1.244778461997733E12+1.4902318576934109E9i,417.6459037469538
0.02181661564992912,1.2484957084590211+0.39986656822911293i,1.2484957084590212E12+3.998665682291129E11i,1.5611403998941797
0.02181661564992912,1.2581606139047687+0.48590407432805177i,1.2581606139047688E12+4.8590407432805176E11i,1.2946594609693869
0.02181661564992912,1.48700211788378+0.08005719138840457i,1.48700211788378E12+8.005719138840457E10i,9.287123942866401
0.02181661564992912,1.6253859649871736+0.0011852047307287655i,1.6253859649871736E12+1.1852047307287655E9i,685.6983957479426
0.02181661564992912,1.67576801730504+0.024015165382230075i,1.67576801730504E12+2.4015165382230076E10i,34.889787153933526
0.02181661564992912,1.8986775194212997+0.08577961187695801i,1.8986775194212998E12+8.577961187695801E10i,11.067184135460746
0.02181661564992912,2.032123108700605+3.59572312729506E-5i,2.032123108700605E12+3.5957231272950605E7i,28257.502548997727
0.02181661564992912,2.1834118775150717+0.017582660111503907i,2.1834118775150715E12+1.7582660111503906E10i,62.08991880831838
0.02181661564992912,2.254018606697671+1.1498824759913342E-5i,2.254018606697671E12+1.1498824759913342E7i,98010.82518256665
0.02181661564992912,2.2853902504550474+1.210256601872891E-5i,2.2853902504550474E12+1.210256601872891E7i,94417.59073730191
0.02181661564992912,2.3094156212204204+1.0257383440741053E-5i,2.3094156212204204E12+1.0257383440741053E7i,112573.3299609191
0.02181661564992912,2.4350638471075756+0.08416425738036892i,2.4350638471075757E12+8.416425738036893E10i,14.466139920314603
0.02181661564992912,2.543791568926893+2.0228774536104849E-4i,2.543791568926893E12+2.022877453610485E8i,6287.557272405867
0.02181661564992912,2.596523985235744+0.005020498291974375i,2.596523985235744E12+5.020498291974376E9i,258.5922585997562
0.02181661564992912,2.6572600032846037+1.8508338863060047E-4i,2.6572600032846035E12+1.8508338863060048E8i,7178.548066753056
0.02181661564992912,2.7070769690220087+0.03431867905267931i,2.707076969022009E12+3.431867905267931E10i,39.440285053900745
0.026179938779914945,0.5879645217897591+0.06093258113135383i,5.879645217897592E11+6.093258113135383E10i,4.824713731741233
0.026179938779914945,0.9833050762546637+0.09038208456079971i,9.833050762546637E11+9.038208456079971E10i,5.439712311532259
0.026179938779914945,1.2164931725762427+0.0029107128444678114i,1.2164931725762427E12+2.9107128444678116E9i,208.9682558154691
0.026179938779914945,1.2470709598886467+0.0016462611916140458i,1.2470709598886467E12+1.6462611916140459E9i,378.7585366894239
0.026179938779914945,1.2487692016151681+0.39979816424226094i,1.2487692016151682E12+3.997981642422609E11i,1.561749544275629
0.026179938779914945,1.2584563956226367+0.4858238178671124i,1.2584563956226367E12+4.8582381786711237E11i,1.2951777468914285
0.026179938779914945,1.4869311918260284+0.07994953786267914i,1.4869311918260283E12+7.994953786267914E10i,9.299185658708701
0.026179938779914945,1.6249402515081723+0.0016830051260488979i,1.6249402515081724E12+1.683005126048898E9i,482.74964418051377
0.026179938779914945,1.6762876004164926+0.023612501651626438i,1.6762876004164927E12+2.361250165162644E10i,35.495764598517866
0.026179938779914945,1.8986391557641504+0.08576299329788886i,1.8986391557641504E12+8.576299329788887E10i,11.06910499945719
0.026179938779914945,2.0319872494376185+5.1782293191268125E-5i,2.0319872494376184E12+5.178229319126812E7i,19620.483414398743
0.026179938779914945,2.1833327177441366+0.017622565785441028i,2.1833327177441365E12+1.762256578544103E10i,61.947072416319415
